sex,birth,education,grade,income,pa_mar,edu_fa,edu_ma,have_c,conway,sleep,pa_use,trouble,self_diag,f1,f2,f3,f4,f5,f6,f7,scr,fac,lon,eff,d
2,1988,2,3,3,1,1,1,1,1,3,2,5,2,49.98,43.8,48.14,48.31,42.94,40.32,42.88,30,53,28,67,-6.18
1,1989,2,1,6,1,9,11,1,1,3,1,4,4,41.78,43.8,37.64,39.89,64.81,50.96,42.88,32,52,37,57,2.02
1,1989,2,3,3,1,5,4,1,1,3,3,4,2,41.78,43.8,66.51,53.93,61.69,47.41,39.78,32,48,41,67,2.02
1,1988,2,3,4,1,5,7,1,1,2,2,3,2,39.73,49.94,53.39,53.93,55.44,82.87,64.55,32,46,52,61,10.21
2,1985,3,5,6,1,5,3,1,1,2,4,4,1,35.64,43.8,37.64,39.89,36.69,40.32,39.78,26,53,49,56,8.16
1,1988,2,2,2,1,5,5,1,2,3,4,3,3,45.88,43.8,58.64,48.31,52.31,54.5,49.07,26,54,32,55,-2.08
2,1988,2,2,3,1,9,5,1,1,2,3,3,3,66.37,56.07,58.64,56.74,61.69,68.69,58.36,31,62,43,51,-10.3
1,1986,3,3,1,1,9,5,1,1,2,1,2,3,72.52,80.61,63.88,70.79,61.69,65.14,64.55,21,56,53,61,8.09
1,1987,2,3,3,1,9,9,1,1,3,1,4,1,37.68,43.8,53.39,42.7,55.44,43.87,52.17,37,50,35,59,6.12
2,1989,2,3,6,1,7,7,1,1,4,1,3,3,43.83,43.8,63.88,42.7,52.31,40.32,45.98,33,49,21,68,-0.03
1,1985,3,1,6,1,9,7,1,1,3,2,3,2,41.78,43.8,48.14,39.89,55.44,54.5,55.26,37,55,27,71,2.02
2,1987,2,3,1,1,3,4,1,1,4,1,3,3,54.08,43.8,56.01,51.12,74.19,50.96,61.46,37,55,29,47,-10.28
1,1985,3,2,2,1,5,5,1,1,2,4,2,3,64.32,92.88,61.26,67.98,67.94,65.14,58.36,27,57,46,65,28.56
2,1988,2,3,2,1,5,5,1,1,3,3,3,1,70.47,56.07,58.64,51.12,55.44,50.96,61.46,28,57,30,63,-14.4
1,1989,2,3,2,1,1,4,1,3,4,4,3,3,54.08,43.8,42.89,48.31,52.31,50.96,55.26,32,45,34,66,-10.28
2,1987,2,3,3,1,9,5,1,1,3,2,4,2,39.73,43.8,45.51,53.93,42.94,43.87,42.88,32,49,37,60,4.07
1,1989,2,4,2,1,5,5,1,1,3,2,2,3,72.52,43.8,56.01,62.36,55.44,54.5,64.55,33,65,35,44,-28.72
1,1987,2,1,4,1,1,5,1,5,4,2,3,3,49.98,43.8,45.51,62.36,39.81,58.05,49.07,28,48,41,52,-6.18
1,1985,3,3,2,1,5,3,1,3,2,2,2,3,68.42,49.94,50.76,65.17,58.56,65.14,58.36,33,45,36,70,-18.48
2,1984,3,4,2,1,5,5,1,1,3,1,3,3,58.18,43.8,45.51,53.93,52.31,40.32,52.17,30,61,37,57,-14.38
1,1989,2,2,3,5,3,1,1,4,3,4,2,1,37.68,56.07,66.51,53.93,49.19,58.05,58.36,28,52,44,54,18.39
2,1987,2,3,2,1,9,5,1,1,3,4,3,3,66.37,49.94,50.76,48.31,64.81,47.41,61.46,22,54,61,60,-16.43
1,1986,3,3,1,1,5,5,1,1,3,2,3,1,64.32,43.8,61.26,42.7,64.81,43.87,49.07,36,50,23,81,-20.52
